2017-09-02 04:11:48,30/04/10,595965
2017-09-02 04:11:50,17/05/05,857679
2017-09-02 04:11:51,27/06/54,764616
2017-09-02 04:11:52,31/11/84,NOTFOUND
2017-09-02 04:11:54,04/03/83,71887
2017-09-02 04:11:55,12/11/70,1066694
2017-09-02 04:11:56,31/04/69,NOTFOUND
2017-09-02 04:11:58,08/07/85,271725
2017-09-02 04:11:59,24/09/29,806372
2017-09-02 04:12:00,13/11/78,712784
2017-09-02 04:12:01,12/05/50,349314
2017-09-02 04:12:03,07/02/93,481683
2017-09-02 04:12:04,10/12/24,353891
2017-09-02 04:12:05,01/10/87,351033
2017-09-02 04:12:07,21/07/70,1267814
2017-09-02 04:12:08,16/05/38,260384
2017-09-02 04:12:09,17/05/72,1408208
2017-09-02 04:12:11,16/01/59,394749
2017-09-02 04:12:12,11/09/23,1270545
2017-09-02 04:12:13,23/09/87,818968
2017-09-02 04:12:15,04/04/64,1867385
2017-09-02 04:13:26,30/01/23,980088
2017-09-02 04:13:27,17/12/45,256478
2017-09-02 04:13:28,08/03/86,362102
2017-09-02 04:13:29,31/09/94,NOTFOUND
2017-09-02 04:13:31,07/09/07,723319
2017-09-02 04:13:32,24/07/88,2343801
2017-09-02 04:13:33,19/08/42,3855105
2017-09-02 04:13:35,20/06/13,1330650
2017-09-02 04:13:36,18/01/64,431451
